username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
risauma68144702,IG : @risa.umami16,Wonosobo,28,19,2187,2021-02-09 10:05:44,2022-06-01 02:59:41,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
DenpasarKota,"Akun Resmi Pemkot Denpasar dikelola Diskominfos 

#DenpasarKota #ProDenpasar
Kanal media lainnya klik link ↓↓↓","Denpasar, Bali",268,20472,20758,2012-01-26 11:53:49,2022-06-01 02:48:41,4,"SohIB pasti sudah tahu kalau #IbuKota kita akan berpindah dari Jakarta ke #Nusantara pada 2024 mendatang. Seperti apa ya perjalanan dan fakta dibalik perpindahan Ibu Kota Indonesia dari masa ke masa? 

#IndonesiaBaik #YangMudaSukaData #IKN #IbuKotaNegara #Sejarah #KominfoNewsroom https://t.co/haWcJB9We5","[{'text': 'IbuKota', 'indices': [50, 58]}, {'text': 'Nusantara', 'indices': [95, 105]}]"
manusiabisaya,,"Cilacap, Jawa Tengah",22,1310,563,2021-02-03 05:32:27,2022-06-01 02:41:10,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
Teresaahm,,,38,120,298,2021-12-24 18:14:10,2022-06-01 02:36:29,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/PuOJLKRFwi","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
shienthaisme,,,30,47,137,2021-12-24 17:56:09,2022-06-01 02:36:23,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/KicmadSABV","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
Safirasheva,,,35,29,247,2021-12-24 18:21:32,2022-06-01 02:36:18,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/61eN0PTp53","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
SabrinaBachdiem,,,35,40,142,2021-12-24 17:59:59,2022-06-01 02:36:14,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/bzF57heSDt","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
Natashanis,,,15,20,270,2021-12-24 17:49:12,2022-06-01 02:36:09,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/PlyHWrdrPT","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
Mawwwrenz,,,3,3,336,2021-12-24 18:18:25,2022-06-01 02:36:05,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/C5BsDBR7qM","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
Lannymelisz,,,23,32,180,2021-12-24 18:20:51,2022-06-01 02:36:00,0,"konsep green city #IbukotaNegara
#IKN Nusantara merupakan konsep yang baik karena tetap menjaga kelestarian alam Kalimantan 
#SemangatNusantara https://t.co/ZgOaVdCjpK","[{'text': 'IbukotaNegara', 'indices': [18, 32]}, {'text': 'IKN', 'indices': [33, 37]}, {'text': 'SemangatNusantara', 'indices': [125, 143]}]"
infosemar3,,"Semarang, Jawa Tengah",38,19007,441,2022-01-12 20:10:04,2022-06-01 02:31:31,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA","[{'text': 'IbukotaNegara', 'indices': [120, 134]}, {'text': 'IKN', 'indices': [135, 139]}, {'text': 'SemangatNusantara', 'indices': [140, 158]}, {'text': 'fff', 'indices': [159, 163]}, {'text': 'followforfollowback', 'indices': [164, 184]}]"
CostaDuma,,,57,35,262,2022-03-28 01:58:07,2022-06-01 02:17:12,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
TVRIKALTIM_,#mediapemersatubangsa,"Kalimantan Timur, Indonesia",65,1161,1692,2016-08-22 01:19:29,2022-06-01 02:16:07,0,"KTHI 31 Mei 2022 

IKN-Kaltim
Pemda meminta masyarakat untuk memanfaatkan momentum IKN sebagai pengembangan UMKM

#kalimantantimurhariini #tvri #mediapemersatubangsa #IKN #UMKM #infokalimantantimur #kalimantantimur https://t.co/O81ApWSyyh","[{'text': 'kalimantantimurhariini', 'indices': [114, 137]}, {'text': 'tvri', 'indices': [138, 143]}, {'text': 'mediapemersatubangsa', 'indices': [144, 165]}, {'text': 'IKN', 'indices': [166, 170]}, {'text': 'UMKM', 'indices': [171, 176]}, {'text': 'infokalimantantimur', 'indices': [177, 197]}, {'text': 'kalimantantimur', 'indices': [198, 214]}]"
Cintakamuayang,,,53,31,354,2022-03-28 04:08:13,2022-06-01 02:14:15,8,"Pembangunan IKN Nusantara akan mendorong pertumbuhan ekonomi nasional. Kesejahteraan masyarakat pasti akan bertambah, persiapkan diri sambut IKN

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Z9NSs7ABOd","[{'text': 'IbukotaNegara', 'indices': [146, 160]}, {'text': 'IKN', 'indices': [161, 165]}, {'text': 'SemangatNusantara', 'indices': [166, 184]}]"
abangbelneg,"- NKRI 🇮🇩 -
No Radical No Racism No Traitor
🕵️‍♂️🕵️‍♀️",Jakarta,2245,2115,2600,2011-11-16 11:23:03,2022-06-01 02:10:57,0,"pemindahan #IbukotaNegara #IKN Nusantara tingkatkan perekonomian Kalimantan
#SemangatNusantara https://t.co/YUYHuYQKFS","[{'text': 'IbukotaNegara', 'indices': [11, 25]}, {'text': 'IKN', 'indices': [26, 30]}, {'text': 'SemangatNusantara', 'indices': [76, 94]}]"
abangbelneg,"- NKRI 🇮🇩 -
No Radical No Racism No Traitor
🕵️‍♂️🕵️‍♀️",Jakarta,2245,2115,2600,2011-11-16 11:23:03,2022-06-01 02:10:49,0,"konsep green city merupakan konsep yang sangat baik untuk mengaja kelestarian alam di Kalimantan
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/UXZAPeaYIz","[{'text': 'IbukotaNegara', 'indices': [97, 111]}, {'text': 'IKN', 'indices': [112, 116]}, {'text': 'SemangatNusantara', 'indices': [117, 135]}]"
Cintakamuayang,,,53,31,354,2022-03-28 04:08:13,2022-06-01 02:08:50,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp","[{'text': 'IbukotaNegara', 'indices': [123, 137]}, {'text': 'IKN', 'indices': [138, 142]}, {'text': 'SemangatNusantara', 'indices': [144, 162]}]"
atiduduwesi,"Sepele 
ning ojo Nyepelekke ..
Gampang
ning oji nggampangke ..
Kepenak
ning ojo sampenake dewe ..",Indonesia,2675,2139,1754,2021-04-26 19:25:28,2022-06-01 02:06:11,0,"Kementerian PUPR mulai mencari kontraktor untuk Bangun IKN Nusantara
-----
Proses pelelangan sudah dimulai sejak 30 Mei 2022
-----
#IKN #Nusantara
#SukseskanPembangunanRI https://t.co/084v4sZves","[{'text': 'IKN', 'indices': [131, 135]}, {'text': 'Nusantara', 'indices': [136, 146]}, {'text': 'SukseskanPembangunanRI', 'indices': [147, 170]}]"
atiduduwesi,"Sepele 
ning ojo Nyepelekke ..
Gampang
ning oji nggampangke ..
Kepenak
ning ojo sampenake dewe ..",Indonesia,2675,2139,1754,2021-04-26 19:25:28,2022-06-01 02:04:50,1,"Makin Serius 
Pembangunan IKN libatkan Tim Ahli dr Jepang 
------
#IKN #Nusantara
#SukseskanPembangunanRI https://t.co/FVPur2v2De","[{'text': 'IKN', 'indices': [66, 70]}, {'text': 'Nusantara', 'indices': [71, 81]}, {'text': 'SukseskanPembangunanRI', 'indices': [82, 105]}]"
atiduduwesi,"Sepele 
ning ojo Nyepelekke ..
Gampang
ning oji nggampangke ..
Kepenak
ning ojo sampenake dewe ..",Indonesia,2675,2139,1754,2021-04-26 19:25:28,2022-06-01 02:03:45,1,"Siemens kepincut ikut proyek di IKN untuk garap Energi Hijau
----
Siemens 
----
#ikn #nusantara
#SukseskanPembangunanRI https://t.co/2gd38M9G1n","[{'text': 'ikn', 'indices': [80, 84]}, {'text': 'nusantara', 'indices': [85, 95]}, {'text': 'SukseskanPembangunanRI', 'indices': [96, 119]}]"
YoyokSubandriy3,"Pencinta (alm) Bapak Ir. Sukarno dan (alm) Gus Dur
Akun diolah oleh tim manajemen
Tuanku adalah rakyat",Indonesia,2264,2069,374489,2018-11-03 11:28:07,2022-06-01 01:05:51,4,"SohIB pasti sudah tahu kalau #IbuKota kita akan berpindah dari Jakarta ke #Nusantara pada 2024 mendatang. Seperti apa ya perjalanan dan fakta dibalik perpindahan Ibu Kota Indonesia dari masa ke masa? 

#IndonesiaBaik #YangMudaSukaData #IKN #IbuKotaNegara #Sejarah #KominfoNewsroom https://t.co/haWcJB9We5","[{'text': 'IbuKota', 'indices': [50, 58]}, {'text': 'Nusantara', 'indices': [95, 105]}]"
TrisiyoWong,"Nek Wani Ojo Wedi², Nek Wedi Ojo Wani²

#SobatNKRI
#JalinPersatuan
#RAZZER X❤️
#GerakanMERAHPUTIH
#NKRI",,8195,8332,32037,2018-04-05 06:24:01,2022-06-01 00:57:19,4,"SohIB pasti sudah tahu kalau #IbuKota kita akan berpindah dari Jakarta ke #Nusantara pada 2024 mendatang. Seperti apa ya perjalanan dan fakta dibalik perpindahan Ibu Kota Indonesia dari masa ke masa? 

#IndonesiaBaik #YangMudaSukaData #IKN #IbuKotaNegara #Sejarah #KominfoNewsroom https://t.co/haWcJB9We5","[{'text': 'IbuKota', 'indices': [50, 58]}, {'text': 'Nusantara', 'indices': [95, 105]}]"
HumasPolsekWat1,,,494,457,9139,2021-04-08 03:09:55,2022-06-01 00:55:17,4,"SohIB pasti sudah tahu kalau #IbuKota kita akan berpindah dari Jakarta ke #Nusantara pada 2024 mendatang. Seperti apa ya perjalanan dan fakta dibalik perpindahan Ibu Kota Indonesia dari masa ke masa? 

#IndonesiaBaik #YangMudaSukaData #IKN #IbuKotaNegara #Sejarah #KominfoNewsroom https://t.co/haWcJB9We5","[{'text': 'IbuKota', 'indices': [50, 58]}, {'text': 'Nusantara', 'indices': [95, 105]}]"
Lintas_MNCTV,"Berita bercerita menyampaikan fakta apa adanya, tanpa rekayasa. Informasi mengenai kegiatan dan liputan News MNCTV.",Indonesia,24,36446,205975,2009-07-30 03:22:52,2022-05-31 14:59:48,0,"Mahkamah Konstitusi Tolak Permohonan 6 Perkara Gugatan UU IKN 

Selengkapnya:
https://t.co/vld7lNfnnq

#MNCTV #MNCTVNews #MK #MahkamahKonstitusi #IKN #IbuKotaBaru https://t.co/sFUSwmZvfW","[{'text': 'MNCTV', 'indices': [103, 109]}, {'text': 'MNCTVNews', 'indices': [110, 120]}, {'text': 'MK', 'indices': [121, 124]}, {'text': 'MahkamahKonstitusi', 'indices': [125, 144]}, {'text': 'IKN', 'indices': [145, 149]}, {'text': 'IbuKotaBaru', 'indices': [150, 162]}]"
aspiansyahtibyn,Statistics • Economics • #IbuKotaNegara • #MenujuIndonesiaMaju,"South Borneo, Indonesia",185,2176,420,2018-08-06 06:08:49,2022-05-31 13:04:44,2,"Mari kita lanjutkan tukar pendapat yg sehat setelah MK menolak semua dalil para pemohon JR yg meminta penghentian Pembangunan Ibukota Nusantara. (Seandainya ada yg tidak puas). 
#IKN
#IndonesiaMajuBermutu",[]
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-05-31 10:48:50,0,"Rekomendasi Rumah Murah di IKN Nusantara, Lokasi Strategis, Ada yang Dekat Titik Nol
 
https://t.co/SPl5Tfzxm5 lewat @tribunkaltim #IKN #rumahmurah #IbuKotaNegara #Nusantara","[{'text': 'IKN', 'indices': [131, 135]}, {'text': 'rumahmurah', 'indices': [136, 147]}, {'text': 'IbuKotaNegara', 'indices': [148, 162]}, {'text': 'Nusantara', 'indices': [163, 173]}]"
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-05-31 09:31:00,0,"Daftar Rekomendasi Rumah Murah di IKN Nusantara yang Terdaftar di Laman SiKumbang Kementerian PUPR
 
#IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PPU #PenajamPaserUtara #rumahmurah

https://t.co/xdC93KBJvu lewat @tribunkaltim","[{'text': 'IKN', 'indices': [101, 105]}, {'text': 'IKNNusantara', 'indices': [106, 119]}, {'text': 'IbuKotaNegara', 'indices': [120, 134]}, {'text': 'IbuKotaNusantara', 'indices': [135, 152]}, {'text': 'Kaltim', 'indices': [153, 160]}, {'text': 'KalimantanTimur', 'indices': [161, 177]}, {'text': 'PPU', 'indices': [178, 182]}, {'text': 'PenajamPaserUtara', 'indices': [183, 201]}, {'text': 'rumahmurah', 'indices': [202, 213]}]"
citrabukana,,,143,915,1737,2013-11-02 05:15:48,2022-05-31 09:06:16,0,"Waspada HOAX Tentang IKN!

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/873H2JDSBq","[{'text': 'IbukotaNegara', 'indices': [27, 41]}, {'text': 'IKN', 'indices': [42, 46]}, {'text': 'SemangatNusantara', 'indices': [47, 65]}]"
citrabukana,,,143,915,1737,2013-11-02 05:15:48,2022-05-31 09:05:40,0,"Pemindahan IKN Tetap Menjaga Kelestarian Budaya &amp; Kesenian

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/CfuHLAmBXg","[{'text': 'IbukotaNegara', 'indices': [64, 78]}, {'text': 'IKN', 'indices': [79, 83]}, {'text': 'SemangatNusantara', 'indices': [84, 102]}]"
citrabukana,,,143,915,1737,2013-11-02 05:15:48,2022-05-31 09:05:01,1,"Pemerintah Berikan Subsidi Untuk Calon Jemaah Haji

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/N7cN5lWpr2","[{'text': 'IbukotaNegara', 'indices': [52, 66]}, {'text': 'IKN', 'indices': [67, 71]}, {'text': 'SemangatNusantara', 'indices': [72, 90]}]"
citrabukana,,,143,915,1737,2013-11-02 05:15:48,2022-05-31 09:04:40,0,"Menteri Agama: Dana Haji Untuk IKN Adalah HOAKS!!

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Bb6qrHAQev","[{'text': 'IbukotaNegara', 'indices': [51, 65]}, {'text': 'IKN', 'indices': [66, 70]}, {'text': 'SemangatNusantara', 'indices': [71, 89]}]"
KudelFarhan,hitam aliranku tapi bukan berarti sesat jalanku \m/,Puncak,607,839,1902,2015-01-12 13:04:08,2022-05-31 09:04:17,0,"IKN Adalah Hadiah Tak Ternilai Bagi Rakyat Kalimantan

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/vmFoJ9PEy3","[{'text': 'IbukotaNegara', 'indices': [55, 69]}, {'text': 'IKN', 'indices': [70, 74]}, {'text': 'SemangatNusantara', 'indices': [75, 93]}]"
KudelFarhan,hitam aliranku tapi bukan berarti sesat jalanku \m/,Puncak,607,839,1902,2015-01-12 13:04:08,2022-05-31 09:03:46,0,"Pemerintah Melalui Kemenag Tidak Pernah Meminta Masyarakat Mengikhlaskan Dana Haji Untuk Membangun IKN Nusantara

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/1Hn20BvLeU","[{'text': 'IbukotaNegara', 'indices': [114, 128]}, {'text': 'IKN', 'indices': [129, 133]}, {'text': 'SemangatNusantara', 'indices': [134, 152]}]"
ekasanjaayaa,,Nusantara,20,716,2020,2021-06-08 08:15:14,2022-05-31 09:02:21,0,"Mendukung Pembangunan IKN Nusantara Untuk Kemajuan Masyarakat Kaltim

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/LUJOrs5Iok","[{'text': 'IbukotaNegara', 'indices': [70, 84]}, {'text': 'IKN', 'indices': [85, 89]}, {'text': 'SemangatNusantara', 'indices': [90, 108]}]"
IndonesiaBaikId,📱Sajian konten informasi digital | 📊Fakta dan data menarik setiap hari | 📌Powered by @djikp @kemkominfo | #️⃣ #IndonesiaBaik #YangMudaSukaData,Indonesia,170,30648,10263,2017-02-13 07:59:15,2022-05-31 09:00:01,4,"SohIB pasti sudah tahu kalau #IbuKota kita akan berpindah dari Jakarta ke #Nusantara pada 2024 mendatang. Seperti apa ya perjalanan dan fakta dibalik perpindahan Ibu Kota Indonesia dari masa ke masa? 

#IndonesiaBaik #YangMudaSukaData #IKN #IbuKotaNegara #Sejarah #KominfoNewsroom https://t.co/haWcJB9We5","[{'text': 'IbuKota', 'indices': [29, 37]}, {'text': 'Nusantara', 'indices': [74, 84]}, {'text': 'IndonesiaBaik', 'indices': [202, 216]}, {'text': 'YangMudaSukaData', 'indices': [217, 234]}, {'text': 'IKN', 'indices': [235, 239]}, {'text': 'IbuKotaNegara', 'indices': [240, 254]}, {'text': 'Sejarah', 'indices': [255, 263]}, {'text': 'KominfoNewsroom', 'indices': [264, 280]}]"
